Company,Job Title,Description
Fulfil,Junior Network Administrator,"Fulfil We can’t do it alone -- we’re seeking curious, capable, passionate team members motivated by the opportunity to create lasting impact on the world through their work. This role offers ample growth opportunities while working side-by-side with an impassioned, multi-disciplinary team spanning mechanical design, software, computer vision, systems integration, and ops to design and operationalize world-changing technology. Fulfil Your Responsibilities Accurate and timely completion of all projects assigned to you Respond to technical support requests Installation of equipment including but not limited to printers, servers, firewalls, access points, cameras, etc. Work with vendors to ensure new location is operational such as phone installation, Internet installation, security systems, etc Equipment upgrades such as RAM, UPS, access points, workstations, printers, etc Workstation deployments; including new user laptop set ups and refresh laptop deployments Install and configure servers, peripherals, network devices and storage devices in accordance with internal standards and project requirements Develop, document, and maintain installation and configuration procedures Regular internal &amp; external communications on project statuses and planned changes/outages for clients What We’re Looking For Solid experience with Windows and Mac OS desktop operating systems Experience with the Microsoft 365 stack, Google Workspace, Slack, Ticketing and MDM solutions Knowledge of firewalls, networking/routing (switches, routers, etc.), and wireless configurations Patience, empathy, confidence, and customer service skills Excellent communication (verbal and written) and documentation skills at all levels internally and externally, interpersonal, business management, time management, and developmental skills Ability to multi-task in a fast-paced environment Self-starter with a positive attitude Strong sense of initiative and ownership over work Exceptional strong problem solving, planning skills and follow-through skills Ability to work effectively and complete assigned tasks with minimal supervision Ability to work on site and travel between locations frequently What we’d love to see Solid experience with Linux operating systems A+ and/or Network+ certifications or other relevant certifications. Desire to work in a fast-paced startup environment A lifetime learning mentality A can-do attitude What You Get A chance to be an early member of a hyper-growth startup with equity to match Ability to solve complex problems with a world-class team A low-ego company culture that is obsessed with feedback and helping each other grow Hybrid work structure that allows you to choose when and where you get your best work done Medical, dental, and vision coverage, with 401K, life and disability coverage as well Generous paid time off (PTO) - and we mean it! Compensation $22 per hour"
Cisco,Network Engineer (Full Time) United States,"Recent graduate or on your final year of studies toward an Associate's, Bachelor's or Master's degree in a technical field, such as Networking, Computer Science, Information Technology, Electrical/Computer Engineering or a related program or other academic certification; equivalent experience accepted in lieu of degree Eligible to start July/August 2022 Fluent in English (verbal and written) Passionate about networking, information technology or computer science Knowledge of adjacent technologies, holding Cisco Certifications (e.g., CCNA, CCNP) or industry recognized certifications is a plus Strong analytical and problem solving skills with ability to solve technical problems Ability to multi-task, self-start, work in a dynamic team environment and work independently"
SK hynix America Inc.,Network Engineer,"SK hynix is ushering in a new future by leading the technology-based IT ecosystem. With tenacious commitment and technological innovation, SK hynix is striving to make a future where all stakeholders and members of society enjoy shared growth. By establishing a system of a new brand identity, SK hynix is aiming to become a maker of a better world at the core of advanced technology. Network Engineer Job Description We are looking for a Network Engineer who will be responsible for maintaining and administering our company's computer networks. Your primary duties will include maintenance of computer networks, hardware, software, and other related systems, performing disaster recovery operations, protecting data, software, and hardware from attacks, and replacing faulty network hardware components when necessary. You will also be working closely with the users of our network in order to identify potential issues and fix existing problems. To be a successful candidate, you will need to have a strong understanding of network infrastructure and network hardware. You will also need to be able to implement, administer, and troubleshoot network devices including WAPs, firewalls, routers, switches, IPS, WIPS, WAN accelerator and controllers. A deep knowledge of application transport and network infrastructure protocols is highly desired. Responsibilities: Maintaining and administering computer networks and related computing environments including systems software, applications software, hardware, and configurations. Protecting data, software, and hardware by coordinating, planning and implementing network security measures. Troubleshooting, diagnosing and resolving hardware, software, and other network and system problems. Replacing faulty network hardware components when required. Monitoring network performance to determine if adjustments need to be made. Conferring with network users about solving existing system problems. Operating master consoles to monitor the performance of networks and computer systems. Coordinating computer network access and use Requirements: 5 years IT operations and engineering experience Strong understanding of networking and virtualization technologies Switching and Routing experience in an enterprise data center environment 5+ years Firewall experience in an enterprise data center environment 2+ years Ability to adapt quickly to changing technology requirements Strong system design background Strong communication, presentation, and documentation skills Able to navigate fast-paced and rapidly evolving environments Preferred Technical and Professional Expertise CheckPoint Firewalls VMware NSX Cisco Nexus Switches Trendmicro TippingPoint IPS Cisco ASA Firewall / VPN Steelhead WAN Accelerator Cisco Unified Collaboration Cisco MSE and AP"
Walmart,System Engineer(Voice/Video -MS Teams/Zoom ),"The Hybrid Meetings Experience This position reports to the Senior Product Manager. You will help lead, manage, and deploy key technologies. And partner with cross-functional teams to provide a best-in-class user experience. You will make an impact by: · Engineering and implementing new technologies · Solving network issues · Prioritization Utilizing industry research to improve Walmart's technology environment by analyzing industry best practices, benchmarking industry against internal processes and solutions Driving the execution of multiple business plans and projects Ensuring business needs are being met by evaluating the ongoing effectiveness of current plans, programs, and initiatives; consulting with key stakeholders; soliciting, evaluating, and applying suggestions to improve efficiency and cost-effectiveness; and participating in supporting community outreach events. You’ll sweep us off our feet if: You have certifications like MCSE, CCNA, or VMWare You have at least 5 years of engineering experience You have a passion for unified communications You have hands-on experience with system design and architecture You have worked at enterprise-level corporations You have a deep understanding of virtual collaboration products like MS Teams, Zoom, and Mural. Understand Power Apps and how they work Benefits &amp; Perks: Beyond competitive pay, you can receive incentive awards for your performance. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more. Equal Opportunity Employer Walmart, Inc. is an Equal Opportunity Employer – By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions – while being inclusive of all people. Who We Are Join Walmart and your work could help over 275 million global customers live better every week. Yes, we are the Fortune #1 company. But you’ll quickly find we’re a company who wants you to feel comfortable bringing your whole self to work. A career at Walmart is where the world’s most complex challenges meet a kinder way of life. Our mission spreads far beyond the walls of our stores. Join us and you'll discover why we are a world leader in diversity and inclusion, sustainability, and community involvement. From day one, you’ll be empowered and equipped to do the best work of your life. careers.walmart.com"
Albertsons Companies,Cloud Network Engineer,"Pleasanton CA, Fullerton, CA, Plano, TX, Phoenix, AZ, Boise, ID or Vancouver, BC CAN. About The Company: Albertsons Companies is at the forefront of the revolution in retail. With a fixation on innovation and building culture, our team is rallying our company around a unique vision: forging a retail winner that is admired for national strength, deep roots in the communities we serve, and a team that has passion for food and delivering great service. Albertsons is one of the largest retail employers, providing approximately 300,000 jobs across 2,200 stores, 22 distribution centers, 20 food and beverage plants and various support offices. We operate in 34 states and the District of Columbia under the Albertsons banner, as well as Safeway, Tom Thumb, Jewel Osco, Shaw’s, and many more recognizable names. What you will be doing: The Technology Department has an opening for a Cloud Network Engineer. Responsible for the configuration and support of backbones connection over ExpressRoute (Azure), Interconnect (GCP) and an array of interconnects handled over various virtual gateways Responsible for troubleshooting to ascertain root cause of issues Perform network system updates, patches, and configuration changes Map network layouts and configure network devices for user environments Key Responsibilities include, but are not limited to: Deliver network solutions for business applications and infrastructure technology. Lead the development and deployment of communication solutions, including integration testing. Develop turn-over documentation for handing off to Operations teams. Design, deploy, maintain, solutions across, on-prem and cloud networks. Manage multiple high-priority, high-pressure projects. Act as point of escalation for network related support cases. Implement fault-tolerance across all critical networked environments. Integrate networks with Public Cloud providers (e.g., Azure/GCP) using transit VPC, IPSec and other Secure Cloud Interconnects. Lead the design and implementation of Enterprise solutions focused in the areas of network and data center technologies. Create the governing principles around network design across the organization. Define the network engineering standard processes and procedures. Design, test, implement, and support network infrastructure. Provide consultation and direct technical support in life cycle planning, problem management, integration, and network configuration. Project planning and designing scalable network infrastructure solutions to meet business requirements for a reliable network (includes detailing current and future requirements, planning analysis, project design, cost and personnel resource estimation for project implementation). Ensure network performance and availability meets enterprise objectives for timely service restoration and tuning. Qualifications: Four (4) years of experience designing, deploying, maintaining, and improving on-prem and cloud networks Must have experience with Cloud Solution Deployments (Azure &amp; Google Cloud). Must have experience with ExpressRoute to establish connections to Microsoft cloud services Must have hands on experience extending on-prem networks into the cloud over a private connection. Four (4) years of experience with network operating systems, including Juniper, Cisco IOS and NxOS Four (4) year of experience with LAN/WAN architecture and implementation for large enterprise networks (10,000 plus devices). Three (3) years of experience creating and delivering detailed technical presentations of network solutions to Senior/Executive level Management. Four (4) years of experience with Layer 2 and Layer 3 advanced protocols. Four (4) years’ experience with Palo Alto/Fortinet Firewall Design, Engineering and L4 troubleshooting. Four (4) years’ experience with BGP, OSPF, VSS, VPC, VNET protocols. Four (4) years’ experience with SD-WAN Design and implementation. What it is like at Albertsons? Albertsons Culture Principles Compassion Team Inclusive Learning Competitive Ownership"
"BioIntelliSense, Inc",Systems Engineer,"Create system requirements and coordinate communication to all sub-system and integration teams. Drive system risk assessment - Including ownership of the risk management file. Drive Verification and Validation test plans including definition of objectives, entry, and exit criteria. What We Are Looking For Strong familiarity with the v-model and medical device product development. Bachelor's degree in Engineering or Scientific discipline 5+ years of industry in healthcare and FDA-regulated products. Strong written and oral communication skills. Strong technical skills and passion for building products. Self-directed and independent with the ability to perform with minimal direct supervision. Preferred Master's degree in Engineering or Scientific discipline Experience with wearable medical devices and/or Remote Patient Monitoring (RPM) is desired. Job Type: Salary Expectations: Work Location: You're excited about this opportunity because you will Join a fast-growing company and grow right along with us. Work on challenging and interesting tech problems which reshapes the future of healthcare. Get the chance to work on cutting-edge technologies and use world-class tooling to get the job done. Make a large impact across the company through business deliverables and continuous innovation. Why You'll Love Working at BioIntelliSense We are leaders We are doers We are learning We have great benefits -"
Robert Half,Network Engineer,"Establish and operate network test facilities Utilize traditional and creative methods to develop enterprise data, voice, and video networks Collaborate with vendors, clients, carriers and technical staff on the implementation, optimization and ongoing management of networks Provide high-level support and technical expertise in networking technology, including hardware, hubs, bridges and routers General familiarity with Switching Protocols Strong familiarity with Cisco CCNP Palo Alto Firewall experience highly desired ASA Firewall experience preferred Knowledge of Cisco CCNA Adeptness in CUCM Demonstrated knowledge of Network Routing Solid understanding of Cisco Networking Well versed in network design and implementation strategies"
Lawrence Livermore National Laboratory,NIF Detector System Electrical Engineer (early/mid-career),"early to mid-career engineers with a background in Electrical Engineering or Applied Physics. Provide engineering support for the daily operations of diagnostic systems deployed on NIF working with well-defined systems.. Provide full life cycle technical engineering for project teams from design through commissioning, maintenance, upgrades, and system integration. Provide basic engineering design support for electrical/electronic subsystems in diagnostics. Assist in the installation and commissioning of new diagnostic systems in the NIF. Execute system reliability, maintainability, and availability improvements. Develop and execute test/calibration/characterization plans for detector systems using standard techniques and methods. Execute electrical component and system level tests of diagnostic instruments. Contribute to project/program milestone completion and participate in engineering design reviews. Provide engineering design support for electrical/electronic subsystems in diagnostics. Informally lead engineering design reviews and small projects that are moderately complex to complex. Perform basic systems engineering analysis to determine requirements and plan electrical component and system level tests of diagnostic instruments. Provide analysis of various camera systems, sensor integration, and data transmission systems. Develop multi-disciplinary engineering solutions for existing and future diagnostic systems, including quality standards, publications, and presentations. Ability to obtain and maintain a U.S. DOE Q-level security clearance which requires U.S. citizenship. Bachelor’s degree in Electrical Engineering, Applied Physics or related field, or equivalent combination of education and previous related experience. Experience working with oscilloscopes, digital delay generators, network analyzers, or similar lab equipment. Fundamental knowledge of the full engineering lifecycle including analog circuit design and digital circuit design at the component level. Experience with printed circuit board (PCB) layout, design including component selection and qualification (ADC, DACs, op-amps, and other standard board components). Sufficient verbal and written communication skills necessary to interact with a multidisciplinary research team, author technical and scientific reports and papers, document analyses, and deliver scientific presentations. Broad experience with technical project management including the use of Gant charts and/or moderately complex to complex systems engineering. Experience and proficiency with scientific detector, high voltage (&gt;100V), and vacuum systems. Comprehensive knowledge of small-scale lab automation (oscilloscopes, digital delay generators, power supplies, motor controllers, data acquisition systems, or similar) to accelerate the collection of test data. Proficiency using and expanding existing MATLAB, Python, SPICE, or LabVIEW, scripts/routines for analysis, parameter optimization and/or lab automation. Included in 2022 Best Places to Work by Glassdoor! Work for a premier innovative national Laboratory Comprehensive Benefits Package Flexible schedules (*depending on project needs)"
Woven Planet,Senior Network Engineer,"Build and grow the careers of a team of network engineers Work with networking hardware and software vendors to deliver high-value solutions Take ownership of installation, configuration, monitoring, documentation, and automation of network infrastructure and corporate systems Respond to complex issues and problems when necessary ensuring that all issues and problems are worked on until the issue is resolved. Conduct post-mortems capturing learnings and actions Work closely with the Security team to improve the infrastructure security Mentor and coach junior engineers helping them skill up at every opportunity Establish documented procedures, policies, and processes relating to the network and its governance Support the design, development, documentation, implementation, and operation of the network Maximize the level of automation and self-service features reducing manual toil and operational expense Provide visibility of network performance metrics Act as a technical expert in a specific process or product area, conducting process reviews and initiating change in order to contribute to continuous improvement of services to internal customers Bachelor’s degree (or equivalent) in Computer Science, Information Technology, or 5+ years of experience in related field Excellent communication and people engagement skills Agile/Scrum experience in delivering infrastructure Experience with deploying and operating Software Defined Networks, 10G/100G Network. Experience with hosted environments such as AWS, Google Compute Engine, or Azure Designing and building MDF/IDF infrastructure Implementing and tuning network and systems security in a large, complex multi-site environment Operational knowledge of DNS, DHCP, and IPAM management through Infoblox Good Understanding of Infrastructure Security, Zero Trust, SAML IdP Experience of configuring OSPF, BGP routing protocols"
Booz Allen Hamilton,Network Engineer,"2+ years of experience with implementing and managing network policies, procedures, and standards and enforcing security procedures Experience monitoring, analyzing, troubleshooting, and evaluating hardware, software, and network problems Knowledge of new technologies related to computer networking and new hardware or software products for system enhancements Ability to meet with clients to plan, analyze, design, and test computer applications to ensure that computer software and applications adhere to the organizational plan Ability to obtain a security clearance HS diploma or GED Experience with researching and recommending network and server hardware and software for large complex networks Experience with SharePoint services and Linux RHEL 5 Experience installing, designing, configuring, and maintaining system hardware and software Knowledge of Military Operations Knowledge of Microsoft Office Word, Excel, PowerPoint, and Access Ability to travel up to 25% of the time Ability to develop, maintain, and implement network support and analyze archiving procedures Possession of excellent oral and written communication skills Clearance"
TikTok,Cloud System Engineer,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. The infrastructure team supports the company's fast growth by building and operating hyper-scale datacenters, managing the life cycle of server fleet, providing cloud solutions, and developing various infrastructure services and making sure they are scalable and are reliable. This position is based in Mountain View, CA / Bellevue, WA Responsibilities • Manage cloud infrastructure, provide resource allocation, system upgrades, user access control etc. • Perform deep dives on complex system issues ranging from software bugs, hardware failures to network issues. • Build tools and automations to improve the operational efficiency. • Oncall responsibility Qualifications Minimum qualifications: • Master’s degree (or Bachelor's degree with 3+) years of experience in Computer Engineering, Electrical Engineering, Computer Science or related major • 3+ years experience working with Unix Linux systems from kernel to shell and beyond • 3+ years scripting experience in Shell and Python. Preferred qualifications: • Networking configuration and systems administration experience on a Public Cloud platform (AWS, GCP, Azure, OCI etc.) • Hardware and system troubleshooting skills • Experience in a large scale production environment • Experience in L4/L7 loadbalancers • Experience in kerberos, LDAP or other account management and access control systems. *TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too. TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com."
Booz Allen Hamilton,"Software Engineer, Junior","Experience working in full stack development, including front-end, back-end, database, DevOps, or mobile app Experience using GoLang, Java, Spring, React.js, Node.js, Python, .Net, or Angular Experience with RESTful API design and implementation Experience with database design, including Stored Procedures, DML and DDL tasks Experience developing in an agile environment Experience developing on Cloud Platforms TS/SCI clearance HS Diploma or GED Experience with working with CI/CD pipelines and DevOps methodologies Experience with performing design and code reviews Experience with one or more version control systems Experience with production support and issue resolution Experience with interfacing with Business Analysts and UI/UX teams Experience with working in an Agile and SCRUM environment Experience with AWS or other Cloud platform technologies, including EKS, EC2, S3, SQS, and SNS TS/SCI clearance with a polygraph preferred Bachelor's degree experts in virtually every field a culture that focuses on supporting our employees"
Astreya,Network Test Engineer,"Astreya is the leading IT solutions provider to deliver technology-enabled services and fuel digital transformation to some of the most exciting companies on the planet. We are at the cusp of a new way of working with our delivery model that helps our clients be positively productive by matching exceptional people to on-site teams delivering world-class IT service. With engineers in over 30 countries and 70 cities around the world, we are a global company working with the world's most recognizable and innovative organizations. Overview As the Network Engineer, you will provide solutions for requirements, and develop test plans, networks, and hardware and software solutions. As the Network Engineer, you will have expertise in System Administration, Networking and writing Python, Expect, and Shell scripts. Your Role and Responsibilities: Lead testing and configuration of various automation Configure and operate various test tools and equipment (hardware and software) used in a lab environment Develop test plan, execute test plan and validate requirements, identify issues and troubleshoot and document test results Debug /QA on test results, assist and more complex issues Assist with lab setup and maintenance (Rack/Stack/Cable/Power) Assist in developing a lab expansion plan Setup and configure network switches and servers, including SONiC network switches. Test different network topologies primarily using automated methods Write test scripts, and utilize the HWE automation framework to do regression tests Analyze test results and provide recommendations. Required Qualifications/Skills: 5+ years of related experience in System Administration, Networking and writing Python Python, Expect, and Shell scripting Ability to build test automation from manual test cases Experience with PXE, NFS, DNS, DHCP &amp; TFTP Experience with Ubuntu/Centos/Windows server administrator. Experience with switch/server installation and cabling. Experience in testing NIC, switches, cabling and optics. General knowledge of optics, fibre cables, and twin-AX cables. Familiar with Ansible and Linux VM Knowledgeable of networking protocols such as BGP, LLDP, TACACS+, Syslog, QoS Familiar with Clos type network designs Familiar with Juniper/Arista/Cisco hardware and configurations. Familiar with server hardware and configurations. Familiar with GIT, Jenkins, Puppet Familiar Ixia traffic generation gear Comfortable working on common network operating systems such as Cisco NX-OS, Arista EOS, and Juniper JunOS Education Bachelor’s degree in Computer Science (B.S/B.A) or an equivalent combination of education and experience Why Astreya Employment in the fast-growing IT space provides you with a variety of career options Opportunity to work with some of the biggest firms in the world as part of the Astreya delivery network Introduction to new ways of working and awesome technologies Career paths to help you establish where you want to go Focus on internal promotion and internal mobility - we love to build teams from within Free 24/7 accessible Professional Development through LinkedIn Learning and other online courses to give you opportunities to upskill at your own pace Education Assistance Dedicated management to provide you with on-point leadership and care Numerous on-the-job perks Market competitive compensation and insurance, health and wellness benefits Additional Information Astreya Partners is an equal employment and affirmative action employer. We evaluate qualified applicants on merit and business needs and not on race, color, religion, creed, gender, sexual orientation, national origin, ancestry, age, disability, genetic information, marital status, veteran status or any other factor protected by law."
